firmware_size,done,not_done,missing,attempts,duration_sec,0239.vcc,0242.vcc,0239.ReadRate,0242.ReadRate,0239.peak_rssi,0242.peak_rssi
407,2,0,0,1,6.1456196,3640,3698,2.47460131079631,22.1854491555109,-21,-18
407,2,0,0,1,4.842697,3554,3734,4.93095674367506,49.1590846971702,-21,-18
407,2,0,0,1,5.6318138,3562,3722,8.13353970834753,145.75429873963,-20,-19
407,2,0,0,1,5.7759229,3546,3722,5.72463585591321,39.1345451252054,-19,-17
407,2,0,0,1,5.2870888,3558,3726,116.015000739596,3.60662016771505,-18,-17
407,2,0,0,1,5.3443527,3558,3734,8.00382262568603,95.1689089519048,-19,-17
407,2,0,0,1,5.1976571,3558,3714,9.0484799458539,18.0370625561404,-20,-19
407,2,0,0,1,6.1580796,3554,3710,4.25546582669445,16.872347614229,-20,-18
407,2,0,0,1,6.1082808,3538,3730,9.14137780674579,26.9279032318869,-19,-18
407,2,0,0,1,5.7846307,3538,3718,4.82995888256003,23.8634210504964,-20,-18
407,2,0,0,1,6.0944764,3584,3742,5.54151704570643,27.4262945759566,-20,-18
407,2,0,0,1,6.3788218,3538,3734,4.27548671071843,25.5670886798732,-22,-18
407,2,0,0,1,5.6312647,3604,3742,5.50287772990886,43.5435525333911,-19,-18
407,2,0,0,1,6.0201059,3566,3714,7.74500950312666,52.3446672000838,-21,-19
407,2,0,0,1,5.0120234,3534,3722,12.7880263152006,18.8956024264473,-20,-19
407,2,0,0,1,6.1881588,3546,3726,6.44015773234318,76.9345184668489,-21,-17
407,2,0,0,1,6.1848642,3542,3730,3.76477107932975,40.895005790361,-18,-18
407,2,0,0,1,5.1459303,3558,3738,4.5975426134731,32.1062331040948,-18,-17
407,2,0,0,1,4.944309,3554,3738,11.1351506641561,11.0239180437837,-22,-19
407,2,0,0,1,5.3592794,3562,3734,122.784301468947,14.789874703879,-19,-19
407,2,0,0,1,6.3260526,3558,3734,4.24486053510712,16.9261372989016,-19,-21
407,2,0,0,1,5.4102352,3550,3710,5.91530466776691,23.4814129940269,-18,-18
407,2,0,0,1,5.2746725,3558,3734,13.4772796650087,13.0780925602001,-22,-18
407,2,0,0,1,5.8567436,3546,3726,6.41313821146554,101.981890565783,-19,-19
407,2,0,0,1,6.1486359,3546,3726,5.90836713411698,82.1633371930539,-19,-18
407,2,0,0,1,5.1457105,3570,3726,6.42876796519208,37.5509754491722,-19,-18
407,2,0,0,1,5.5815764,3592,3714,5.55963571042971,16.3757246258147,-21,-18
407,2,0,0,1,4.8827686,3584,3734,5.53973346126425,54.6774957269537,-20,-20
407,2,0,0,1,6.641163,3566,3734,6.25800633685722,49.7801273997911,-19,-18
407,2,0,0,1,5.9630314,3546,3726,30.3147887665519,22.3979214728873,-21,-18
407,2,0,0,1,5.6618297,3554,3730,9.23683001230808,9.18499264052465,-20,-18
407,2,0,0,1,4.9964666,3562,3710,7.16020017055597,49.6374339999404,-19,-19
407,2,0,0,1,6.6734575,3570,3738,3.66818749720301,14.6296575343468,-20,-22
407,2,0,0,1,5.2021107,3578,3738,2.13282918938841,57.387638192621,-18,-17
407,2,0,0,1,6.1286635,3566,3734,3.52157315716077,59.7438744956914,-21,-19
407,2,0,0,1,5.1378079,3574,3734,47.1642216930659,17.4947719789736,-19,-19
407,2,0,0,1,6.261314,3558,3718,11.6861884444631,34.1714060508448,-21,-18
407,2,0,0,1,5.4250834,3570,3714,3.86900178980023,15.2545527212597,-19,-18
407,2,0,0,1,5.6300332,3584,3734,2.1873002721439,109.041360696609,-18,-19
407,2,0,0,1,5.3156233,3566,3734,4.82945970419559,43.4507420662566,-18,-18
407,2,0,0,1,5.6316887,3592,3742,7.18475710671268,24.7128804592077,-22,-18
407,2,0,0,1,5.4452443,3546,3718,4.18893609819872,12.3842690061376,-19,-17
407,2,0,0,1,6.3961427,3558,3738,5.99585806125129,131.468001584787,-18,-17
407,2,0,0,1,5.6414712,3570,3726,5.32360320629974,47.5745440244258,-21,-17
407,2,0,0,1,5.2162602,3566,3734,4.18061249317515,28.8690150923087,-17,-18
407,2,0,0,1,4.8693121,3554,3730,5.78838028963897,45.9405231017663,-20,-20
407,2,0,0,1,5.9822304,3566,3734,6.44636431498999,12.6354600286699,-19,-18
407,2,0,0,1,5.3034793,3574,3734,5.96222216789975,23.5190633768201,-18,-18
407,2,0,0,1,5.1529837,3558,3722,4.59655782170963,17.9774149735687,-20,-21
407,2,0,0,1,5.3694582,3570,3722,4.1986252021638,29.0023442180512,-20,-18
407,2,0,0,1,5.3445479,3558,3730,14.5699426454208,14.4404332129964,-17,-18
407,2,0,0,1,5.1168928,3596,3718,4.02606474314713,7.92322395982925,-20,-21
407,2,0,0,1,5.9638014,3546,3714,6.10738492770688,29.5608033207424,-21,-18
407,2,0,0,1,4.9789283,3562,3726,6.79440602962769,53.2802661882099,-21,-18
407,2,0,0,1,5.5361113,3582,3722,4.56831689500637,17.9755487597995,-20,-17
407,2,0,0,1,6.3424887,3562,3738,1.48346977052058,97.7463396587557,-20,-17
407,2,0,0,1,5.7452556,3558,3706,6.92872009910841,62.0356801660902,-20,-17
407,2,0,0,1,5.7078466,3588,3722,50.7837971248245,10.0731715179061,-19,-19
407,2,0,0,1,5.8570485,3546,3726,5.48870917635332,54.4383594455998,-20,-19
407,2,0,0,1,5.4003038,3574,3730,5.08763191593604,25.3440839558263,-19,-17
407,2,0,0,1,6.0989202,3588,3722,23.9636327908766,5.96405345700395,-19,-19
407,2,0,0,1,5.3814648,3550,3730,4.20023353298443,4.19834140324523,-18,-18
407,2,0,0,1,5.9911231,3574,3734,4.29376202253366,25.7536704345717,-18,-18
407,2,0,0,1,7.6588877,3584,3100,6.80379488463485,115.620302925194,-17,-18
407,2,0,0,1,5.8030331,3554,3726,16.1993251361148,5.39788629568434,-20,-19
407,2,0,0,1,5.8217313,3584,3730,3.57638058125483,14.2993190664261,-20,-18
407,2,0,0,1,6.3162065,3542,3722,14.7240763310841,3.68023064741514,-19,-17
407,2,0,0,2,11.7913575,3562,3734,4.94521933284046,49.4395776673517,-20,-20
407,2,0,0,1,5.6302545,3584,3722,3.74380680758855,11.2267886145394,-19,-17
407,2,0,0,2,11.452806,3570,3738,4.50745871731247,9.01263436147964,-18,-19
407,2,0,0,1,5.7996888,3588,3726,18.9895291736137,3.7964625321418,-18,-17
407,2,0,0,1,6.0112059,3562,3730,14.626469228834,4.87420410339747,-19,-17
407,2,0,0,1,6.5807861,3566,3734,5.38157810472659,10.758130860828,-19,-18
407,2,0,0,1,4.9347928,3574,3738,7.26536679567536,3.63091462376281,-18,-17
407,2,0,0,1,5.3268891,3574,3730,94.1952736947062,2.29402258006426,-21,-18
407,2,0,0,1,5.0901781,3574,3722,8.69631763126222,69.5147436426595,-19,-19
407,2,0,0,1,5.3364175,3582,3726,4.52003346632779,4.51814645752468,-19,-19
407,2,0,0,1,5.5866492,3558,3730,3.8875563209722,54.4144499903997,-19,-17
407,2,0,0,1,5.2535542,3550,3742,86.4956727944814,3.45889945428943,-21,-17
407,2,0,0,1,6.3320334,3570,3738,3.63492024258004,29.0715421580969,-19,-18
407,2,0,0,1,4.9877877,3558,3730,3.96963231280703,31.7487278681602,-17,-18
407,2,0,0,1,5.5900221,3554,3722,3.61122035052671,25.2727379726137,-18,-17
407,2,0,0,2,10.0138545,3554,3714,4.54163956821724,27.237838078316,-19,-18
407,2,0,0,2,9.6983345,3588,3746,3.7002939513515,3.69914142927427,-20,-17
407,2,0,0,2,9.8784294,3596,3738,6.24263758929313,56.1282018020895,-18,-17
407,2,0,0,1,5.1135996,3570,3730,6.87176125302443,41.2165193061611,-17,-18
407,2,0,0,1,4.9784184,3588,3734,4.90084848389802,4.8983758455209,-20,-18
407,2,0,0,1,5.8667575,3584,3730,4.13901117367456,8.27625476298462,-18,-17
407,2,0,0,1,5.8417514,3574,3738,5.46081943964347,49.1270129793568,-18,-17
407,2,0,0,1,5.8747886,3558,3722,5.3095099163062,84.9122591012674,-18,-18
407,2,0,0,1,5.0642679,3562,3722,5.81268956633848,23.2337418986846,-20,-17
407,2,0,0,1,6.3266576,3546,3726,132.653192926502,3.57772920811615,-20,-17
407,2,0,0,1,5.6081388,3570,3730,6.02422340230065,12.0440136434587,-18,-17
407,2,0,0,1,5.271146,3542,3722,10.2363522554011,5.11633523047044,-21,-18
407,2,0,0,1,5.0851751,3574,3722,110.203078559734,3.67259276234799,-18,-17
407,2,0,0,1,5.2981845,3558,3734,5.38298889381731,5.38143040572756,-18,-17
407,2,0,0,1,6.8716159,3578,3742,3.96913442307242,51.5799330254408,-18,-18
407,2,0,0,1,5.8816641,3612,3722,7.65831068387949,3.82810140334369,-19,-17
407,2,0,0,1,5.1252992,3554,3726,4.36606103578686,126.586588281923,-19,-17
407,2,0,0,2,8.4207097,3574,3734,10.1396637281921,5.06818225588847,-18,-17
