firmware_size,done,not_done,missing,attempts,duration_sec,,,avg,count
407,4,0,0,1,10.0512376,,=1,9.859187334,85
407,4,0,0,3,19.8455412,,=2,16.37648348,13
407,4,0,0,1,9.6118911,,>3,19.42931085,2
407,4,0,0,1,10.4213644,,all,10.8978383,100
407,4,0,0,1,10.6958337,,,,
407,4,0,0,1,10.8019452,,,,
407,4,0,0,2,13.8355143,,,,
407,4,0,0,1,10.0757894,,,,
407,4,0,0,1,9.8402803,,,,
407,4,0,0,2,13.9690662,,,,
407,4,0,0,1,8.7753424,,,,
407,4,0,0,1,10.3128112,,,,
407,4,0,0,1,9.8448125,,,,
407,4,0,0,1,11.6960994,,,,
407,4,0,0,1,10.6021914,,,,
407,4,0,0,1,9.0863321,,,,
407,4,0,0,2,13.7423315,,,,
407,4,0,0,1,9.9258843,,,,
407,4,0,0,1,9.1969199,,,,
407,4,0,0,1,11.063843,,,,
407,4,0,0,1,10.8974731,,,,
407,4,0,0,1,10.0343183,,,,
407,4,0,0,1,9.9876272,,,,
407,4,0,0,1,10.1567585,,,,
407,4,0,0,2,11.9916791,,,,
407,4,0,0,1,10.0225511,,,,
407,4,0,0,2,14.8039003,,,,
407,4,0,0,1,10.7818717,,,,
407,4,0,0,1,8.8464636,,,,
407,4,0,0,1,8.916994,,,,
407,4,0,0,1,9.187697,,,,
407,4,0,0,1,9.1106012,,,,
407,4,0,0,1,9.9613376,,,,
407,4,0,0,1,9.828475,,,,
407,4,0,0,1,10.5318237,,,,
407,4,0,0,1,9.6041996,,,,
407,4,0,0,1,8.6980013,,,,
407,4,0,0,1,10.3953834,,,,
407,4,0,0,2,14.9913095,,,,
407,4,0,0,1,9.7098618,,,,
407,4,0,0,1,9.8699486,,,,
407,4,0,0,2,22.6809274,,,,
407,4,0,0,1,10.4026035,,,,
407,4,0,0,2,14.9991367,,,,
407,4,0,0,1,10.2583379,,,,
407,4,0,0,1,9.8850374,,,,
407,4,0,0,1,9.4080699,,,,
407,4,0,0,2,11.0318395,,,,
407,4,0,0,2,20.2166107,,,,
407,4,0,0,1,10.2192453,,,,
407,4,0,0,1,10.0291584,,,,
407,4,0,0,1,10.604418,,,,
407,4,0,0,1,9.4212158,,,,
407,4,0,0,1,9.7321494,,,,
407,4,0,0,1,9.5381354,,,,
407,4,0,0,1,9.773656,,,,
407,4,0,0,1,9.6851487,,,,
407,4,0,0,1,10.1147383,,,,
407,4,0,0,1,9.169759,,,,
407,4,0,0,1,10.1889209,,,,
407,4,0,0,1,9.7609722,,,,
407,4,0,0,1,9.3741675,,,,
407,4,0,0,1,11.1530823,,,,
407,4,0,0,1,9.7174207,,,,
407,4,0,0,1,9.7642044,,,,
407,4,0,0,1,10.106888,,,,
407,4,0,0,1,9.4413825,,,,
407,4,0,0,2,21.2859253,,,,
407,4,0,0,1,9.0250554,,,,
407,4,0,0,1,11.6055583,,,,
407,4,0,0,1,10.2357838,,,,
407,4,0,0,1,9.4232037,,,,
407,4,0,0,2,17.9675517,,,,
407,4,0,0,1,9.8177955,,,,
407,4,0,0,1,9.1046839,,,,
407,4,0,0,1,8.1265238,,,,
407,4,0,0,1,9.2834077,,,,
407,4,0,0,1,11.7923629,,,,
407,4,0,0,1,10.9572923,,,,
407,4,0,0,1,8.5864105,,,,
407,4,0,0,3,19.0130805,,,,
407,4,0,0,1,9.6314666,,,,
407,4,0,0,1,9.7959579,,,,
407,4,0,0,1,10.1269818,,,,
407,4,0,0,1,10.014662,,,,
407,4,0,0,1,9.1496612,,,,
407,4,0,0,1,9.8630386,,,,
407,4,0,0,1,8.7607959,,,,
407,4,0,0,1,10.1616675,,,,
407,4,0,0,1,9.6975583,,,,
407,4,0,0,1,10.0952973,,,,
407,4,0,0,1,9.8405326,,,,
407,4,0,0,1,10.2297284,,,,
407,4,0,0,1,9.7114348,,,,
407,4,0,0,2,21.3784931,,,,
407,4,0,0,1,11.3855057,,,,
407,4,0,0,1,9.2589715,,,,
407,4,0,0,1,8.09273,,,,
407,4,0,0,1,8.6514399,,,,
407,4,0,0,1,9.3127395,,,,
